Tue, 08 Feb 2022 17:07:53 GMT | INFO | apps.log | Minimum Expected 8 pages, got 0. Retrying attempt 1 .... | 
Tue, 08 Feb 2022 17:08:01 GMT | INFO | apps.log | Total pages: 8 | 
Tue, 08 Feb 2022 17:08:01 GMT | INFO | apps.log | Worker created for page 1 | 
Tue, 08 Feb 2022 17:08:01 GMT | INFO | apps.log | Scraping page 1...... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Total ads found 32 | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping 32 items | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 1/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 2/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 3/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 4/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 5/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 6/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 7/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 8/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 9/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 10/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 11/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 12/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 13/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 14/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 15/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 16/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 17/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 18/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 19/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 20/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 21/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 22/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 23/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 24/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 25/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 26/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 27/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 28/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 29/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 30/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 31/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:10 GMT | INFO | apps.log | Scraping item 32/32 of page 1..... | 
Tue, 08 Feb 2022 17:08:18 GMT | INFO | apps.log | Page 1 has 32 items | 
Tue, 08 Feb 2022 17:08:18 GMT | INFO | apps.log | Successfully scraped 32 items of page 1 | 
Tue, 08 Feb 2022 17:08:18 GMT | INFO | apps.log | Worker created for page 2 | 
Tue, 08 Feb 2022 17:08:18 GMT | INFO | apps.log | Scraping page 2...... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Total ads found 32 | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping 32 items | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 1/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 2/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 3/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 4/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 5/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 6/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 7/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 8/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 9/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 10/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 11/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 12/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 13/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 14/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 15/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 16/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 17/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 18/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 19/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 20/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 21/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 22/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 23/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 24/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 25/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 26/32 of page 2..... | 
Tue, 08 Feb 2022 17:08:21 GMT | INFO | apps.log | Scraping item 27/32 of page 2..... | 
