Mon, 07 Feb 2022 18:27:23 GMT | INFO | mobile.log | MobileScrapper created | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Start scrapping page 1....... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping 13 items | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 1/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 2/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 3/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 4/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 5/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 6/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 7/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 8/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 9/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 10/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 11/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 12/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:24 GMT | INFO | mobile.log | Scraping item 13/13 of page 1..... | 
Mon, 07 Feb 2022 18:27:27 GMT | INFO | mobile.log | Successfully Scrapped 13 items of page 1 | 
Mon, 07 Feb 2022 18:27:27 GMT | INFO | mobile.log | Successfully scraped 13 till now | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Start scrapping page 2....... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping 13 items | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 1/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 2/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 3/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 4/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 5/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 6/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 7/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 8/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 9/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 10/13 of page 2..... | 
Mon, 07 Feb 2022 18:27:29 GMT | INFO | mobile.log | Scraping item 11/13 of page 2..... | 
